各時段打包紀錄 日期: 2022/5/25 11:04:46打包日期: 20220525 位址: D1400, 打包數: 0 位址: D1450, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:50打包日期: 20220524 位址: D1502, 打包數: 0 位址: D1552, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:51打包日期: 20220524 位址: D1503, 打包數: 0 位址: D1553, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:51打包日期: 20220524 位址: D1504, 打包數: 0 位址: D1554, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:51打包日期: 20220524 位址: D1505, 打包數: 0 位址: D1555, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:51打包日期: 20220524 位址: D1506, 打包數: 0 位址: D1556, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:51打包日期: 20220524 位址: D1507, 打包數: 0 位址: D1557, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:51打包日期: 20220524 位址: D1508, 打包數: 0 位址: D1558, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:52打包日期: 20220524 位址: D1509, 打包數: 3 位址: D1559, 用電: 10
各時段打包紀錄 日期: 2022/5/25 11:04:52打包日期: 20220524 位址: D1510, 打包數: 5 位址: D1560, 用電: 13
各時段打包紀錄 日期: 2022/5/25 11:04:52打包日期: 20220524 位址: D1511, 打包數: 0 位址: D1561, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:52打包日期: 20220524 位址: D1512, 打包數: 0 位址: D1562, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:52打包日期: 20220524 位址: D1513, 打包數: 0 位址: D1563, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:52打包日期: 20220524 位址: D1514, 打包數: 6 位址: D1564, 用電: 12
各時段打包紀錄 日期: 2022/5/25 11:04:53打包日期: 20220524 位址: D1515, 打包數: 2 位址: D1565, 用電: 5
各時段打包紀錄 日期: 2022/5/25 11:04:53打包日期: 20220524 位址: D1516, 打包數: 0 位址: D1566, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:53打包日期: 20220524 位址: D1517, 打包數: 0 位址: D1567, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:53打包日期: 20220524 位址: D1518, 打包數: 0 位址: D1568, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:53打包日期: 20220524 位址: D1519, 打包數: 0 位址: D1569, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:53打包日期: 20220524 位址: D1520, 打包數: 0 位址: D1570, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:53打包日期: 20220524 位址: D1521, 打包數: 0 位址: D1571, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:54打包日期: 20220524 位址: D1522, 打包數: 0 位址: D1572, 用電: 0
各時段打包紀錄 日期: 2022/5/25 11:04:54打包日期: 20220524 位址: D1523, 打包數: 0 位址: D1573, 用電: 0
